codigo_almacen,codigo_prenda,talla,cantidad,precio_unitario
1,BLU-CAQUI-001,28,9,8.5
2,BLU-CAQUI-001,30,2,9
3,BLU-CAQUI-001,32,4,9.5
4,BLU-CAQUI-001,34,5,10
5,BLU-CAQUI-001,36,10,11
6,BLU-CAQUI-001,38,2,11
7,BLU-CAQUI-001,40,0,12
8,BLU-PUNTA-002,28,6,8.5
9,BLU-PUNTA-002,30,2,9
10,BLU-PUNTA-002,32,7,9.5
11,BLU-PUNTA-002,34,4,10
12,BLU-PUNTA-002,36,14,11
13,BLU-PUNTA-002,38,8,11
14,BLU-PUNTA-002,40,2,12
15,BLU-PLOMA-003,28,0,8.5
16,BLU-PLOMA-003,30,2,9
17,BLU-PLOMA-003,32,0,9.5
18,BLU-PLOMA-003,34,5,10
19,BLU-PLOMA-003,36,1,11
20,BLU-PLOMA-003,38,0,11
21,BLU-PLOMA-003,40,0,12
22,BLU-REDONDO-004,28,16,8.5
23,BLU-REDONDO-004,30,9,9
24,BLU-REDONDO-004,32,1,9.5
25,BLU-REDONDO-004,34,2,10
26,BLU-REDONDO-004,36,9,11
27,BLU-REDONDO-004,38,5,11
28,BLU-REDONDO-004,40,2,12
29,BLU-SFN-005,28,0,8.5
30,BLU-SFN-005,30,1,9
31,BLU-SFN-005,32,0,9.5
32,BLU-SFN-005,34,2,10
33,BLU-SFN-005,36,0,11
34,BLU-SFN-005,38,1,11
35,BLU-SFN-005,40,0,12
36,BLU-SPORT-006,28,3,8.5
37,BLU-SPORT-006,30,4,9
38,BLU-SPORT-006,32,6,9.5
39,BLU-SPORT-006,34,2,10
40,BLU-SPORT-006,36,9,11
41,BLU-SPORT-006,38,7,11
42,BLU-SPORT-006,40,0,12
43,CAM-BLANCA-007,28,12,9.5
44,CAM-BLANCA-007,30,10,10
45,CAM-BLANCA-007,32,9,11
46,CAM-BLANCA-007,34,20,12
47,CAM-BLANCA-007,36,0,13
48,CAM-BLANCA-007,38,0,13
49,CAM-BLANCA-007,40,0,15
50,CAM-CAQUI-008,28,0,9.5
51,CAM-CAQUI-008,30,1,10
52,CAM-CAQUI-008,32,2,11
53,CAM-CAQUI-008,34,0,12
54,CAM-CAQUI-008,36,5,13
55,CAM-CAQUI-008,38,0,13
56,CAM-CAQUI-008,40,1,15
57,CAM-PLOMO-009,28,2,9.5
58,CAM-PLOMO-009,30,0,10
59,CAM-PLOMO-009,32,5,11
60,CAM-PLOMO-009,34,2,12
61,CAM-PLOMO-009,36,0,13
62,CAM-PLOMO-009,38,6,13
63,CAM-PLOMO-009,40,0,15
64,CAM-SFN-010,28,1,9.5
65,CAM-SFN-010,30,4,10
66,CAM-SFN-010,32,2,11
67,CAM-SFN-010,34,3,12
68,CAM-SFN-010,36,0,13
69,CAM-SFN-010,38,4,13
70,CAM-SFN-010,40,0,15
71,EXT-CISNEROS-011,28,1,23
72,EXT-CISNEROS-011,30,2,24
73,EXT-CISNEROS-011,32,0,25
74,EXT-CISNEROS-011,34,2,26
75,EXT-CISNEROS-011,36,4,27
76,EXT-CISNEROS-011,38,2,28
77,EXT-CISNEROS-011,40,0,29
78,EXT-MJM-012,28,9,23
79,EXT-MJM-012,30,14,24
80,EXT-MJM-012,32,16,25
81,EXT-MJM-012,34,9,26
82,EXT-MJM-012,36,8,27
83,EXT-MJM-012,38,2,28
84,EXT-MJM-012,40,1,29
85,EXT-MALDONADO-013,28,1,23
86,EXT-MALDONADO-013,30,0,24
87,EXT-MALDONADO-013,32,0,25
88,EXT-MALDONADO-013,34,2,26
89,EXT-MALDONADO-013,36,0,27
90,EXT-MALDONADO-013,38,1,28
91,EXT-MALDONADO-013,40,0,29
92,EXT-SALESIANAS-014,28,0,23
93,EXT-SALESIANAS-014,30,1,24
94,EXT-SALESIANAS-014,32,1,25
95,EXT-SALESIANAS-014,34,0,26
96,EXT-SALESIANAS-014,36,1,27
97,EXT-SALESIANAS-014,38,1,28
98,EXT-SALESIANAS-014,40,0,29
99,EXT-SFN-015,28,1,23
100,EXT-SFN-015,30,5,24
101,EXT-SFN-015,32,1,25
102,EXT-SFN-015,34,0,26
103,EXT-SFN-015,36,0,27
104,EXT-SFN-015,38,0,28
105,EXT-SFN-015,40,0,29
106,EXT-SMJ-016,28,23,23
107,EXT-SMJ-016,30,12,24
108,EXT-SMJ-016,32,17,25
109,EXT-SMJ-016,34,9,26
110,EXT-SMJ-016,36,16,27
111,EXT-SMJ-016,38,10,28
112,EXT-SMJ-016,40,6,29
113,EXT-STAR-017,28,0,23
114,EXT-STAR-017,30,1,24
115,EXT-STAR-017,32,0,25
116,EXT-STAR-017,34,0,26
117,EXT-STAR-017,36,0,27
118,EXT-STAR-017,38,0,28
119,EXT-STAR-017,40,1,29
120,EXT-SVP-018,28,3,23
121,EXT-SVP-018,30,2,24
122,EXT-SVP-018,32,0,25
123,EXT-SVP-018,34,3,26
124,EXT-SVP-018,36,1,27
125,EXT-SVP-018,38,2,28
126,EXT-SVP-018,40,0,29
127,FAL-AZUL-019,28,20,17
128,FAL-AZUL-019,30,12,18
129,FAL-AZUL-019,32,9,19
130,FAL-AZUL-019,34,4,20
131,FAL-AZUL-019,36,7,22
132,FAL-AZUL-019,38,12,24
133,FAL-AZUL-019,40,2,25
134,FAL-CAQUI-020,28,9,17
135,FAL-CAQUI-020,30,5,18
136,FAL-CAQUI-020,32,4,19
137,FAL-CAQUI-020,34,9,20
138,FAL-CAQUI-020,36,12,22
139,FAL-CAQUI-020,38,18,24
140,FAL-CAQUI-020,40,4,25
141,FAL-ISABELGODIN-021,28,0,17
142,FAL-ISABELGODIN-021,30,0,18
143,FAL-ISABELGODIN-021,32,2,19
144,FAL-ISABELGODIN-021,34,3,20
145,FAL-ISABELGODIN-021,36,2,22
146,FAL-ISABELGODIN-021,38,0,24
147,FAL-ISABELGODIN-021,40,3,25
148,FAL-PLOMA-022,28,15,17
149,FAL-PLOMA-022,30,12,18
150,FAL-PLOMA-022,32,9,19
151,FAL-PLOMA-022,34,5,20
152,FAL-PLOMA-022,36,4,22
153,FAL-PLOMA-022,38,9,24
154,FAL-PLOMA-022,40,4,25
155,FAL-SALESIANAS-023,28,1,17
156,FAL-SALESIANAS-023,30,2,18
157,FAL-SALESIANAS-023,32,0,19
158,FAL-SALESIANAS-023,34,1,20
159,FAL-SALESIANAS-023,36,5,22
160,FAL-SALESIANAS-023,38,1,24
161,FAL-SALESIANAS-023,40,0,25
162,FAL-SVP-024,28,4,17
163,FAL-SVP-024,30,9,18
164,FAL-SVP-024,32,2,19
165,FAL-SVP-024,34,6,20
166,FAL-SVP-024,36,4,22
167,FAL-SVP-024,38,1,24
168,FAL-SVP-024,40,1,25
169,INT-CISNEROS-025,28,14,12
170,INT-CISNEROS-025,30,9,12.5
171,INT-CISNEROS-025,32,5,13
172,INT-CISNEROS-025,34,4,13.5
173,INT-CISNEROS-025,36,9,14
174,INT-CISNEROS-025,38,4,14.5
175,INT-CISNEROS-025,40,2,15
176,INT-MJM-026,28,4,12
177,INT-MJM-026,30,12,12.5
178,INT-MJM-026,32,16,13
179,INT-MJM-026,34,20,13.5
180,INT-MJM-026,36,2,14
181,INT-MJM-026,38,9,14.5
182,INT-MJM-026,40,5,15
183,INT-MALDONADO-027,28,3,12
184,INT-MALDONADO-027,30,2,12.5
185,INT-MALDONADO-027,32,2,13
186,INT-MALDONADO-027,34,1,13.5
187,INT-MALDONADO-027,36,0,14
188,INT-MALDONADO-027,38,2,14.5
189,INT-MALDONADO-027,40,1,15
190,INT-SALESIANAS-028,28,5,12
191,INT-SALESIANAS-028,30,2,12.5
192,INT-SALESIANAS-028,32,4,13
193,INT-SALESIANAS-028,34,9,13.5
194,INT-SALESIANAS-028,36,5,14
195,INT-SALESIANAS-028,38,3,14.5
196,INT-SALESIANAS-028,40,2,15
197,INT-SFN-029,28,2,12
198,INT-SFN-029,30,5,12.5
199,INT-SFN-029,32,3,13
200,INT-SFN-029,34,7,13.5
201,INT-SFN-029,36,6,14
202,INT-SFN-029,38,9,14.5
203,INT-SFN-029,40,5,15
204,INT-SMJ-030,28,9,12
205,INT-SMJ-030,30,13,12.5
206,INT-SMJ-030,32,6,13
207,INT-SMJ-030,34,8,13.5
208,INT-SMJ-030,36,2,14
209,INT-SMJ-030,38,13,14.5
210,INT-SMJ-030,40,0,15
211,INT-STAR-031,28,1,12
212,INT-STAR-031,30,3,12.5
213,INT-STAR-031,32,0,13
214,INT-STAR-031,34,2,13.5
215,INT-STAR-031,36,1,14
216,INT-STAR-031,38,1,14.5
217,INT-STAR-031,40,0,15
218,INT-SVP-032,28,2,12
219,INT-SVP-032,30,9,12.5
220,INT-SVP-032,32,0,13
221,INT-SVP-032,34,12,13.5
222,INT-SVP-032,36,5,14
223,INT-SVP-032,38,5,14.5
224,INT-SVP-032,40,2,15
225,PNT-AZUL-033,28,15,17
226,PNT-AZUL-033,30,21,18
227,PNT-AZUL-033,32,9,19
228,PNT-AZUL-033,34,4,20
229,PNT-AZUL-033,36,5,22
230,PNT-AZUL-033,38,9,24
231,PNT-AZUL-033,40,2,25
232,PNT-CAQUI-034,28,4,17
233,PNT-CAQUI-034,30,0,18
