id,fecha,codigo_prenda,talla,cantidad_prenda,codigo_material,cantidad_material,unidad
1,2018-01-01,PNT-CAQUI-034,36,12,TET-001-CAQ,15.6,metros cuadrados
2,2018-01-01,PNT-CAQUI-034,36,12,CIE-007-DAM,12.0,unidades
3,2018-01-01,PNT-CAQUI-034,36,12,PEL-001-PEL,9.6,metros cuadrados
4,2018-01-01,PNT-CAQUI-034,36,12,BOT-003-CAQ,24.0,unidades
5,2018-01-01,PNT-CAQUI-034,36,12,GAN-001-PAN,12.0,unidades
6,2018-01-01,PNT-CAQUI-034,36,12,HIL-003-CAQ,24.0,unidades
7,2018-01-01,PNT-CAQUI-034,36,12,PRE-002-CAQ,15.6,metros cuadrados
8,2018-01-01,POL-SALESIANAS-037,40,6,PIQ-001-BLA,4.8,metros cuadrados
9,2018-01-01,POL-SALESIANAS-037,40,6,CUE-001-TEJ,6.0,unidades
10,2018-01-01,POL-SALESIANAS-037,40,6,PUN-001-TEJ,12.0,unidades
11,2018-01-01,POL-SALESIANAS-037,40,6,BOT-007-TRA,18.0,unidades
12,2018-01-01,POL-SALESIANAS-037,40,6,PEL-001-PEL,2.4,metros cuadrados
13,2018-01-02,CAM-SFN-010,36,18,FAS-002-RAY,25.2,metros cuadrados
14,2018-01-02,CAM-SFN-010,36,18,BOT-005-PLO,18.0,unidades
15,2018-01-02,CAM-SFN-010,36,18,HIL-005-PLO,144.0,unidades
16,2018-01-02,CAM-SFN-010,36,18,PEL-001-PEL,27.0,metros cuadrados
17,2018-01-02,CAM-SFN-010,36,18,CLA-001-CLA,9.0,metros cuadrados
18,2018-01-02,INT-SVP-032,28,6,JER-001-BLA,2.4,metros cuadrados
19,2018-01-02,INT-SVP-032,28,6,RIB-002-BLA,1.2,metros cuadrados
20,2018-01-02,INT-SVP-032,28,6,HIL-002-BLA,6.0,unidades
21,2018-01-02,INT-SVP-032,28,6,VIO-001-AZU,3.0,metros cuadrados
22,2018-01-02,INT-SVP-032,28,6,HIL-001-AZU,6.0,unidades
23,2018-01-02,INT-SVP-032,28,6,RIB-001-AZU,9.0,metros cuadrados
24,2018-01-02,INT-SMJ-030,36,12,JER-001-BLA,6.0,metros cuadrados
25,2018-01-02,INT-SMJ-030,36,12,RIB-002-BLA,2.4,metros cuadrados
26,2018-01-02,INT-SMJ-030,36,12,HIL-002-BLA,12.0,unidades
27,2018-01-02,INT-SMJ-030,36,12,QUI-001-BLA,0.72,metros cuadrados
28,2018-01-02,INT-SMJ-030,36,12,VIO-001-AZU,6.0,metros cuadrados
29,2018-01-02,INT-SMJ-030,36,12,HIL-001-AZU,24.0,unidades
30,2018-01-02,INT-SMJ-030,36,12,RIB-001-AZU,18.0,metros cuadrados
31,2018-01-03,EXT-SMJ-016,40,6,CAP-002-AZM,15.0,metros cuadrados
32,2018-01-03,EXT-SMJ-016,40,6,ELA-001-ELA,3.6,metros cuadrados
