codigo_prenda,nombre_prenda
BLU-CAQUI-001,Blusa-Caqui
BLU-PLOMA-003,Blusa-Ploma
BLU-PUNTA-002,Blusa-Punta
BLU-REDONDO-004,Blusa-Redondo
BLU-SFN-005,Blusa-SFN
BLU-SPORT-006,Blusa-Sport
CAM-BLANCA-007,Camisa-Blanca
CAM-CAQUI-008,Camisa-Caqui
CAM-PLOMO-009,Camisa-Plomo
CAM-SFN-010,Camisa-SFN
EXT-CISNEROS-011,Exterior-Cisneros
EXT-MALDONADO-013,Exterior-Maldonado
EXT-MJM-012,Exterior-MJM
EXT-SALESIANAS-014,Exterior-Salesianas
EXT-SFN-015,Exterior-SFN
EXT-SMJ-016,Exterior-SMJ
EXT-STAR-017,Exterior-STAR
EXT-SVP-018,Exterior-SVP
FAL-AZUL-019,Falda-Azul
FAL-CAQUI-020,Falda-Caqui
FAL-ISABELGODIN-021,Falda-IsabelGodin
FAL-PLOMA-022,Falda-Ploma
FAL-SALESIANAS-023,Falda-Salesianas
FAL-SVP-024,Falda-SVP
INT-CISNEROS-025,Interior-Cisneros
INT-MALDONADO-027,Interior-Maldonado
INT-MJM-026,Interior-MJM
INT-SALESIANAS-028,Interior-Salesianas
INT-SFN-029,Interior-SFN
INT-SMJ-030,Interior-SMJ
INT-STAR-031,Interior-STAR
INT-SVP-032,Interior-SVP
PNT-AZUL-033,Pantalon-Azul
PNT-CAQUI-034,Pantalon-Caqui
PNT-PLOMO-035,Pantalon-Plomo
POL-BLANCA-036,Polo-Blanca
POL-SALESIANAS-037,Polo-Salesianas
POL-SFN-038,Polo-SFN
POL-STAR-039,Polo-STAR
POL-SVP-040,Polo-SVP
VES-FATIMAS-041,Vestido-Fatimas
VES-MJM-042,Vestido-MJM
VES-SMJ-043,Vestido-SMJ
