codigo_venta,codigo_almacen,cantidad,fecha,precio_total
15,8,1,2018-01-02,8.5
16,75,1,2018-01-02,27
17,139,1,2018-01-02,24
18,82,1,2018-01-02,27
19,36,1,2018-01-02,8.5
20,120,1,2018-01-02,23
21,72,1,2018-01-02,24
22,243,1,2018-01-02,22
23,48,1,2018-01-03,13
24,239,1,2018-01-03,17
25,183,1,2018-01-03,12
26,208,1,2018-01-03,14
27,195,1,2018-01-03,14.5
28,235,1,2018-01-03,20
29,60,1,2018-01-03,12
30,51,1,2018-01-03,10
31,290,1,2018-01-04,35
32,224,1,2018-01-05,15
33,8,1,2018-01-05,8.5
34,83,1,2018-01-05,28
35,248,1,2018-01-05,7.5
36,299,1,2018-01-05,42
37,293,1,2018-01-05,45
38,197,1,2018-01-05,12
39,229,1,2018-01-08,22
40,278,1,2018-01-08,8.5
41,44,1,2018-01-08,10
42,181,1,2018-01-08,14.5
43,115,1,2018-01-08,25
44,43,1,2018-01-08,9.5
45,46,1,2018-01-08,12
46,10,1,2018-01-09,9.5
47,291,1,2018-01-09,38
48,173,1,2018-01-09,14
49,247,1,2018-01-09,7
50,234,1,2018-01-10,19
51,48,1,2018-01-10,13
52,225,1,2018-01-10,17
53,295,1,2018-01-10,28
54,48,1,2018-01-10,13
55,153,1,2018-01-10,24
56,44,1,2018-01-10,10
57,142,1,2018-01-10,18
58,40,1,2018-01-11,11
59,170,1,2018-01-11,12.5
60,300,1,2018-01-11,45
61,22,1,2018-01-11,8.5
62,248,1,2018-01-11,7.5
63,247,1,2018-01-11,7
64,12,1,2018-01-11,11
65,270,1,2018-01-12,8
66,209,1,2018-01-12,14.5
67,109,1,2018-01-12,26
68,233,1,2018-01-12,18
69,113,1,2018-01-15,23
70,22,1,2018-01-15,8.5
71,47,1,2018-01-15,13
72,205,1,2018-01-15,12.5
73,233,1,2018-01-15,18
74,290,1,2018-01-15,35
75,227,1,2018-01-15,19
76,246,1,2018-01-15,6.5
77,26,1,2018-01-16,11
78,204,1,2018-01-16,12
79,250,1,2018-01-16,8.5
80,46,1,2018-01-16,12
81,48,1,2018-01-16,13
82,22,1,2018-01-16,8.5
83,178,1,2018-01-16,13
84,181,1,2018-01-16,14.5
85,130,1,2018-01-16,20
86,82,1,2018-01-16,27
87,250,1,2018-01-16,8.5
88,101,1,2018-01-16,25
89,228,1,2018-01-17,20
90,101,1,2018-01-17,25
91,180,1,2018-01-17,14
92,199,1,2018-01-17,13
93,176,1,2018-01-17,12
94,80,1,2018-01-17,25
95,8,1,2018-01-17,8.5
96,121,1,2018-01-17,24
97,129,1,2018-01-17,19
98,9,1,2018-01-18,9
99,25,1,2018-01-18,10
100,151,1,2018-01-18,20
101,55,1,2018-01-18,13
102,228,1,2018-01-18,20
103,8,1,2018-01-18,8.5
104,274,1,2018-01-18,6.5
105,10,1,2018-01-18,9.5
106,139,1,2018-01-18,24
107,249,1,2018-01-18,8
108,48,1,2018-01-18,13
109,81,1,2018-01-19,26
110,255,1,2018-01-19,7.5
111,12,1,2018-01-19,11
112,63,1,2018-01-19,15
113,248,1,2018-01-19,7.5
114,78,1,2018-01-19,23
115,130,1,2018-01-19,20
116,79,1,2018-01-19,24
117,151,1,2018-01-22,20
118,39,1,2018-01-22,10
119,249,1,2018-01-22,8
120,148,1,2018-01-22,17
121,9,1,2018-01-22,9
122,23,1,2018-01-22,9
123,82,1,2018-01-22,27
124,39,1,2018-01-23,10
125,23,1,2018-01-23,9
126,299,1,2018-01-23,42
127,253,1,2018-01-23,6.5
128,258,1,2018-01-23,9
129,38,1,2018-01-23,9.5
